10:44:03 [INFO] Client connected at: 127.0.0.1:12345
10:44:03 [INFO] Client connected at: 127.0.0.1:12345
10:44:03 [INFO] Client connected at: 127.0.0.1:12345
10:44:03 [INFO] Client connected at: 127.0.0.1:12345
10:44:03 [INFO] codec: encode len = 9
10:44:03 [INFO] codec: encode len = 9
10:44:03 [INFO] codec: encode len = 9
10:44:03 [INFO] codec: encode len = 9
10:44:03 [INFO] codec: decode len = 10
10:44:03 [INFO] reponse received: 0 hello 0
10:44:03 [INFO] codec: encode len = 9
10:44:03 [INFO] codec: decode len = 10
10:44:03 [INFO] reponse received: 1 hello 0
10:44:03 [INFO] codec: encode len = 9
10:44:03 [INFO] codec: decode len = 10
10:44:03 [INFO] reponse received: 2 hello 0
10:44:03 [INFO] codec: encode len = 9
10:44:04 [INFO] codec: decode len = 10
10:44:04 [INFO] reponse received: 3 hello 0
10:44:04 [INFO] codec: encode len = 9
10:44:04 [INFO] codec: decode len = 10
10:44:04 [INFO] reponse received: 0 hello 1
10:44:04 [INFO] codec: encode len = 9
10:44:04 [INFO] codec: decode len = 10
10:44:04 [INFO] reponse received: 1 hello 1
10:44:04 [INFO] codec: encode len = 9
10:44:04 [INFO] codec: decode len = 10
10:44:04 [INFO] reponse received: 2 hello 1
10:44:04 [INFO] codec: encode len = 9
10:44:04 [INFO] codec: decode len = 10
10:44:04 [INFO] reponse received: 3 hello 1
10:44:04 [INFO] codec: encode len = 9
10:44:05 [INFO] codec: decode len = 10
10:44:05 [INFO] reponse received: 0 hello 2
10:44:05 [INFO] codec: encode len = 9
10:44:05 [INFO] codec: decode len = 10
10:44:05 [INFO] reponse received: 1 hello 2
10:44:05 [INFO] codec: encode len = 9
10:44:05 [INFO] codec: decode len = 10
10:44:05 [INFO] reponse received: 2 hello 2
10:44:05 [INFO] codec: encode len = 9
10:44:05 [INFO] codec: decode len = 10
10:44:05 [INFO] reponse received: 3 hello 2
10:44:05 [INFO] codec: encode len = 9
10:44:05 [INFO] codec: decode len = 10
10:44:05 [INFO] reponse received: 0 hello 3
10:44:05 [INFO] codec: encode len = 9
10:44:05 [INFO] codec: decode len = 10
10:44:05 [INFO] reponse received: 1 hello 3
10:44:05 [INFO] codec: encode len = 9
10:44:05 [INFO] codec: decode len = 10
10:44:05 [INFO] reponse received: 2 hello 3
10:44:05 [INFO] codec: encode len = 9
10:44:05 [INFO] codec: decode len = 10
10:44:05 [INFO] reponse received: 3 hello 3
10:44:05 [INFO] codec: encode len = 9
10:44:05 [INFO] codec: decode len = 10
10:44:05 [INFO] reponse received: 0 hello 4
10:44:05 [INFO] codec: encode len = 9
10:44:05 [INFO] codec: decode len = 10
10:44:05 [INFO] reponse received: 1 hello 4
10:44:05 [INFO] codec: encode len = 9
10:44:06 [INFO] codec: decode len = 10
10:44:06 [INFO] reponse received: 2 hello 4
10:44:06 [INFO] codec: encode len = 9
10:44:06 [INFO] codec: decode len = 10
10:44:06 [INFO] reponse received: 3 hello 4
10:44:06 [INFO] codec: encode len = 9
10:44:06 [INFO] codec: decode len = 10
10:44:06 [INFO] reponse received: 0 hello 5
10:44:06 [INFO] codec: encode len = 9
10:44:06 [INFO] codec: decode len = 10
10:44:06 [INFO] reponse received: 1 hello 5
10:44:06 [INFO] codec: encode len = 9
10:44:06 [INFO] codec: decode len = 10
10:44:06 [INFO] reponse received: 2 hello 5
10:44:06 [INFO] codec: encode len = 9
10:44:06 [INFO] codec: decode len = 10
10:44:06 [INFO] reponse received: 3 hello 5
10:44:06 [INFO] codec: encode len = 9
10:44:06 [INFO] codec: decode len = 10
10:44:06 [INFO] reponse received: 0 hello 6
10:44:06 [INFO] codec: encode len = 9
10:44:06 [INFO] codec: decode len = 10
10:44:06 [INFO] reponse received: 1 hello 6
10:44:06 [INFO] codec: encode len = 9
10:44:06 [INFO] codec: decode len = 10
10:44:06 [INFO] reponse received: 2 hello 6
10:44:06 [INFO] codec: encode len = 9
10:44:06 [INFO] codec: decode len = 10
10:44:06 [INFO] reponse received: 3 hello 6
10:44:06 [INFO] codec: encode len = 9
10:44:07 [INFO] codec: decode len = 10
10:44:07 [INFO] reponse received: 0 hello 7
10:44:07 [INFO] codec: encode len = 9
10:44:07 [INFO] codec: decode len = 10
10:44:07 [INFO] reponse received: 1 hello 7
10:44:07 [INFO] codec: encode len = 9
10:44:07 [INFO] codec: decode len = 10
10:44:07 [INFO] reponse received: 2 hello 7
10:44:07 [INFO] codec: encode len = 9
10:44:07 [INFO] codec: decode len = 10
10:44:07 [INFO] reponse received: 3 hello 7
10:44:07 [INFO] codec: encode len = 9
10:44:07 [INFO] codec: decode len = 10
10:44:07 [INFO] reponse received: 0 hello 8
10:44:07 [INFO] codec: encode len = 9
10:44:08 [INFO] codec: decode len = 10
10:44:08 [INFO] reponse received: 1 hello 8
10:44:08 [INFO] codec: encode len = 9
10:44:08 [INFO] codec: decode len = 10
10:44:08 [INFO] reponse received: 2 hello 8
10:44:08 [INFO] codec: encode len = 9
10:44:08 [INFO] codec: decode len = 10
10:44:08 [INFO] reponse received: 3 hello 8
10:44:08 [INFO] codec: encode len = 9
10:44:08 [INFO] codec: decode len = 10
10:44:08 [INFO] reponse received: 0 hello 9
10:44:08 [INFO] codec: decode len = 10
10:44:08 [INFO] reponse received: 1 hello 9
10:44:08 [INFO] codec: decode len = 10
10:44:08 [INFO] reponse received: 2 hello 9
10:44:08 [INFO] codec: decode len = 10
10:44:08 [INFO] reponse received: 3 hello 9
